
########################
2024-07-18 11:34:50,    39,   0,  35,   0,  63,  64
2024-07-18 11:34:51,   192,   0,  55,   0,  38,   0
2024-07-18 11:34:52,   198, 198,   0, 103,   4,   0
2024-07-18 11:34:53,    39,   0,  70,   0, 102,   4
2024-07-18 11:34:54,     0, 127,   0, 103,   0,   6
2024-07-18 11:34:55,     0,  38,   0,   3,   0, 102
2024-07-18 11:34:56,     0, 103,   6,   0, 102,   0
2024-07-18 11:34:57,   119,   0, 126, 120,   0,  51
2024-07-18 11:34:58,     0,  35,   0,  51,  96,   0
2024-07-18 11:34:59,     3,   0,  55,   0,   7,   0
2024-07-18 11:35:00,    39,   0,  39,   0,  51,  70
2024-07-18 11:35:01,     0,  35,   0, 103,   0,   0
2024-07-18 11:35:02,     4,   0, 119, 102,   0, 119
2024-07-18 11:35:03,     0,  39,   0, 102,   0,   3
2024-07-18 11:35:04,     0,   6,   0, 102,   0,  71
2024-07-18 11:35:05,     0,  55,   0,  35,   0,   2
2024-07-18 11:35:06,     0,  35,   0, 103,   0, 119
2024-07-18 11:35:07,    68,   0, 102,   0,   3,   0
2024-07-18 11:35:08,     0, 115,   0, 119,   6,   0
2024-07-18 11:35:09,   119,   4,   0, 119,   0,  51
2024-07-18 11:35:10,     0,  35,   0, 103,   0,  51
2024-07-18 11:35:11,     0, 119,   0,  64,   2,   0
2024-07-18 11:35:12,   127,   0, 102,   0, 103,   0
2024-07-18 11:35:13,   255,   4,   0, 119,   4,   0
2024-07-18 11:35:14,    39,   0,  39,   0,  39,   0
2024-07-18 11:35:15,   102,   0,   2,   0,  35,   0
2024-07-18 11:35:16,    35,   0, 115,   0, 102,  68
2024-07-18 11:35:17,     0, 102,  17,   0, 134,   4
2024-07-18 11:35:18,     0,   2,   0,   4,   0, 102
2024-07-18 11:35:19,     0, 100,   0,  35,   0, 255
2024-07-18 11:35:20,     3,   0,  39,   0,  39,   0
2024-07-18 11:35:21,    35,   0,  39,  96,   0, 103
2024-07-18 11:35:22,     0,  51,   0,   6,   0, 103
2024-07-18 11:35:23,     0, 119,   4,   0, 103,   4
2024-07-18 11:35:24,     0, 127,  70,   0,  70,   0
2024-07-18 11:35:25,    51,   0, 119,   4,   0,  51
2024-07-18 11:35:26,     0, 103,   4,   0, 103,   0
2024-07-18 11:35:27,    51,   0,  70,   0, 119,   0
2024-07-18 11:35:28,    35,   0,   0, 102,   0,  35
2024-07-18 11:35:29,     0, 247,   2,   0,  70,  17
2024-07-18 11:35:30,     0,  51,   0,  51,   0,  35
2024-07-18 11:35:31,     0,   6,   0, 102,   0,  48
2024-07-18 11:35:32,     0,  35,   0,  55,   0, 255
2024-07-18 11:35:33,   102,   1,   0,   7,   0, 119
2024-07-18 11:35:34,     4,   0,  99,   0,   4,   0
2024-07-18 11:35:35,   103,   6,   0,  39,   0, 102
2024-07-18 11:35:36,     0, 198,   0, 103,   0,   2
2024-07-18 11:35:37,     0,  68,   0,  35,   0, 119
2024-07-18 11:35:38,     4,   0, 103,   1,   0,   7
2024-07-18 11:35:39,     0,  39,   0,   3,   0,   3
2024-07-18 11:35:40,     0,  39,   0, 102,   0,  35
2024-07-18 11:35:41,     0,  35,   0,  51,   0, 103
2024-07-18 11:35:42,     0, 102,   0, 103,   4,   0
2024-07-18 11:35:43,    35,   0, 102,   0,  35,   0
2024-07-18 11:35:44,    35,   0, 103,   1,   0,  35
2024-07-18 11:35:45,     0,  39,   0,  35,   0, 102
2024-07-18 11:35:46,    17,   0,   0,   2,   0,  71
2024-07-18 11:35:47,     0,  51,   0, 119,   6,   0
2024-07-18 11:35:48,    35,   0, 119,   0,  51,   0
2024-07-18 11:35:49,   255,   4,   0, 102,   0, 127
2024-07-18 11:35:50,     4,   0,  38,   0,  39,   0
2024-07-18 11:35:51,     0,   7,   0,  39,   0, 227
2024-07-18 11:35:52,     0, 119,   0, 126,   0,   6
2024-07-18 11:35:53,     0,   6,   0,   0, 127,   0
2024-07-18 11:35:54,   127,   6,   0,   3,   0, 103
2024-07-18 11:35:55,     0,  39,   0,   6,   0,  38
2024-07-18 11:35:56,     0, 239, 198,   0,  51,   0
2024-07-18 11:35:57,    63,   0, 127,   0,   0, 102
2024-07-18 11:35:58,     0,   2,   0, 255,  35,   0
2024-07-18 11:35:59,   103,   1,   0,  35,   0, 102
2024-07-18 11:36:00,     0,  55,   0, 103,   4,   0
2024-07-18 11:36:01,    35,   0, 115,   2,   0, 119
2024-07-18 11:36:02,     4,   0, 103,   1,   0, 102
2024-07-18 11:36:03,     0, 103,   0,  39,   0, 115
2024-07-18 11:36:04,     0,   6,   0, 102,   0, 103
2024-07-18 11:36:05,     1,   0, 102,   1,   0, 119
2024-07-18 11:36:06,     0,  55,   0, 102,   0,   3
2024-07-18 11:36:07,     0,   2,   0, 119,   4,   0
2024-07-18 11:36:08,   102,   1,   0,  35,   0, 103
2024-07-18 11:36:09,     0,  51,   4,   0,  70,   0
2024-07-18 11:36:10,    99,   4,   0,  51,   0,   6
2024-07-18 11:36:11,     0,  66,   0,  39,   0, 119
2024-07-18 11:36:12,     0,  67,   0, 115,   0,  31
2024-07-18 11:36:13,     0, 103,   0,   6,   0,  39
2024-07-18 11:36:14,     0,  39,   0,  71,   0,   2
2024-07-18 11:36:15,     0,   6,   0,   6,   0,   2
2024-07-18 11:36:16,     0, 115,  70,   0,   0,  35
2024-07-18 11:36:17,     0,   2,   0,   6,   0, 119
2024-07-18 11:36:18,     0,  35,   0,   2,   0,  39
2024-07-18 11:36:19,     0,   6,   0, 127,   6,   0
2024-07-18 11:36:20,     0,   3,   0,  39,   0, 119
2024-07-18 11:36:21,     4,   0, 103,   1,   0,   7
2024-07-18 11:36:22,     0, 119,   0,  51,   0, 119
2024-07-18 11:36:23,     0, 102,   0,  38,   0,  39
2024-07-18 11:36:24,     0, 102,   0,   0,  63,   0
2024-07-18 11:36:25,    35,   0, 119,   0,  39,  12
2024-07-18 11:36:26,     0,  35,   0, 255,  38,   0
2024-07-18 11:36:27,   115,  70,   0,   6,   0,  39
2024-07-18 11:36:28,     0,   0,   0,  70,   0, 118
2024-07-18 11:36:29,     0,   6,   0,   4,   0,  39
2024-07-18 11:36:30,     0,  51,   0,  39,   0,  34
2024-07-18 11:36:31,     0, 119,   0,   6,   0,   3
2024-07-18 11:36:32,     0,   7,   0,   0, 230,   0
2024-07-18 11:36:33,   134,   0,   0,  70,   0,  99
2024-07-18 11:36:34,     0, 103,   0,   6,   0,   0
2024-07-18 11:36:35,   102,   0, 103,   0, 102,   0
2024-07-18 11:36:36,   103,   4,   0,   7,   0, 119
2024-07-18 11:36:37,   102,   0,  39,   0,   0, 102
2024-07-18 11:36:38,     0, 102,   1,   0, 103,   0
2024-07-18 11:36:39,    55,   0, 119,  70,   1,   0
2024-07-18 11:36:40,   119,   4,   0,  64, 127,   2
2024-07-18 11:36:41,     0,   6,   0,  39,   0,  38
